Timestamp;Lat;Lon;AQI;dB;battery;eCO2;TEMP;HUMI;TVOC
2025-02-10 06:58:20;13.7007122;-89.2008667;1;70;4.27;410;21.71;76.54;28
2025-02-10 06:58:49;13.7007122;-89.2008667;1;68;4.3;429;21.8;76.77;37
2025-02-10 06:58:49;13.7007122;-89.2008667;1;68;4.32;428;21.88;77.87;36
2025-02-10 06:58:49;13.7007122;-89.20085907;1;67;4.3;414;21.96;80.59;30
2025-02-10 06:59:05;13.70074654;-89.20082855;1;65;4.37;400;22.02;75.46;20
2025-02-10 06:59:15;13.70076847;-89.20079803;1;69;4.36;401;21.93;74.21;24
2025-02-10 06:59:26;13.70072269;-89.20093536;1;67;4.3;400;21.54;74.67;17
2025-02-10 06:59:36;13.70086098;-89.20089722;2;74;4.38;526;21.58;75.16;86
2025-02-10 06:59:46;13.70090294;-89.20069122;2;74;4.31;611;21.63;75.77;139
2025-02-10 06:59:56;13.7009182;-89.20058441;3;72;4.31;747;21.63;76.29;246
2025-02-10 07:00:06;13.7008791;-89.20044708;2;70;4.3;544;21.62;75.12;97
2025-02-10 07:00:17;13.70091534;-89.2004776;2;68;4.35;537;21.6;75.2;93
2025-02-10 07:00:27;13.70098591;-89.20027161;3;68;4.4;812;21.42;76.82;332
2025-02-10 07:00:37;13.70097733;-89.19991302;2;78;4.38;533;21.35;75.42;90
2025-02-10 07:00:47;13.70083332;-89.20021057;1;78;4.3;484;21.44;76.73;63
2025-02-10 07:00:57;13.70095253;-89.20028687;2;71;4.31;524;21.28;75.65;85
2025-02-10 07:01:08;13.70070934;-89.2006073;1;75;4.28;400;21.17;76.57;15
2025-02-10 07:01:18;13.70079327;-89.20061493;1;73;4.29;449;21.18;77.43;46
2025-02-10 07:01:28;13.70082569;-89.20070648;2;67;4.31;555;21.17;77.52;103
2025-02-10 07:01:38;13.7008028;-89.20075226;1;84;4.28;429;21.16;76.54;36
2025-02-10 07:01:48;13.70079994;-89.20076752;1;75;4.37;427;21.22;77.45;36
2025-02-10 07:25:38;13.7002058;-89.20240784;2;67;4.3;626;20.61;77.98;149
2025-02-10 07:25:48;13.70014381;-89.20246124;2;70;4.33;535;20.68;80.56;92
2025-02-10 07:26:06;13.70013046;-89.20251465;2;70;4.33;638;20.51;80.71;158
2025-02-10 07:26:09;13.70014477;-89.20262146;1;67;4.25;456;20.48;79.38;49
2025-02-10 07:26:19;13.70014095;-89.2027359;1;69;4.3;428;20.44;79.13;36
2025-02-10 07:26:29;13.7001524;-89.20288086;1;74;4.32;404;20.47;80.43;26
2025-02-10 07:26:39;13.70020962;-89.20300293;1;79;4.26;485;20.57;79.92;64
2025-02-10 07:26:49;13.70020866;-89.20315552;2;82;4.24;486;20.62;79.57;65
2025-02-10 07:27:00;13.70023441;-89.20328522;2;80;4.26;503;20.69;79.38;74
2025-02-10 07:27:10;13.70022678;-89.20329285;3;74;4.27;772;20.57;79.16;269
2025-02-10 07:27:20;13.70031834;-89.2033844;2;77;4.27;555;20.6;80.66;103
2025-02-10 07:27:31;13.70030022;-89.20350647;1;77;4.24;472;20.66;80.97;58
2025-02-10 07:27:40;13.70026875;-89.20362091;1;78;4.27;461;20.59;80.59;52
2025-02-10 07:27:51;13.70025635;-89.2036972;2;81;4.33;543;20.6;80.25;96
2025-02-10 07:28:01;13.70028782;-89.20381927;2;75;4.22;658;20.58;79.85;173
2025-02-10 07:28:12;13.70028305;-89.20391083;1;74;4.24;452;20.56;79.81;48
2025-02-10 07:29:39;13.70026398;-89.20471954;2;71;4.27;531;20.99;81.94;89
2025-02-10 07:29:49;13.70025158;-89.20459747;1;67;4.31;475;20.97;79.25;59
2025-02-10 07:29:59;13.70026875;-89.20445251;1;74;4.23;461;21.04;79.92;52
2025-02-10 07:30:09;13.70026112;-89.20435333;1;72;4.26;444;21.09;79.23;44
2025-02-10 07:30:19;13.70034409;-89.20418549;1;76;4.25;464;21.14;79.73;53
2025-02-10 07:30:30;13.70042992;-89.20409393;1;72;4.32;465;21.17;79.62;54
2025-02-10 07:30:40;13.7003994;-89.20396423;1;74;4.24;481;21.18;79.67;62
2025-02-10 07:30:50;13.70030594;-89.20386505;1;74;4.26;477;21.11;80.08;60
2025-02-10 07:31:01;13.70021725;-89.20383453;2;73;4.27;522;21.25;79.2;84
2025-02-10 07:31:11;13.70021343;-89.20374298;1;76;4.28;428;21.27;78.24;36
2025-02-10 07:31:21;13.70022678;-89.2036438;1;79;4.28;421;21.26;78.86;33
2025-02-10 07:31:31;13.70023441;-89.20355988;1;72;4.24;423;21.22;79.17;34
2025-02-10 07:31:41;13.7003088;-89.20349884;2;71;4.26;652;21.2;78.26;168
2025-02-10 07:31:52;13.70031166;-89.20339203;2;76;4.26;627;21.15;77.62;150
2025-02-10 07:32:01;13.70027256;-89.20322418;2;83;4.24;555;21.04;77.73;103
2025-02-10 07:32:12;13.70029259;-89.20307159;2;85;4.31;635;21.03;78.11;156
