Timestamp;Lat;Lon;AQI;dB;battery;eCO2;TEMP;HUMI;TVOC
2025-02-11 06:57:02;13.70085335;-89.20022583;1;79;4.1;400;19.09;94.75;18
2025-02-11 06:57:12;13.70085526;-89.20038605;1;78;4.1;401;19.19;95.28;24
2025-02-11 06:57:22;13.70087147;-89.20053864;1;72;4.1;419;19.28;98.67;32
2025-02-11 06:57:32;13.70086002;-89.20048523;1;85;4.08;400;19.35;94.67;23
2025-02-11 06:57:44;13.70087337;-89.20050049;1;81;4.1;403;19.43;93.6;25
2025-02-11 06:57:53;13.70090103;-89.20053101;1;68;4.08;408;19.49;93.1;27
2025-02-11 06:58:03;13.70089626;-89.20056152;1;65;4.1;456;19.57;94.14;49
2025-02-11 06:58:14;13.70089436;-89.20056915;1;74;4.09;432;19.65;92.92;38
2025-02-11 06:58:23;13.70091534;-89.20071411;1;66;4.08;458;19.72;93.08;51
2025-02-11 06:58:34;13.70093727;-89.20063782;1;64;4.1;422;19.8;91.61;33
2025-02-11 06:58:44;13.7008934;-89.20070648;1;75;4.07;400;19.88;91.44;20
2025-02-11 06:58:54;13.70089626;-89.20079041;1;68;4.04;406;19.86;93.62;26
2025-02-11 06:59:08;13.70088577;-89.20088959;1;67;4.1;431;19.87;90.28;37
2025-02-11 06:59:14;13.70096493;-89.20095062;2;69;4.1;530;19.87;89.36;89
2025-02-11 06:59:25;13.70091629;-89.20102692;2;67;4.09;515;19.96;93.3;80
2025-02-11 06:59:35;13.70094776;-89.20111084;1;71;4.09;448;19.94;89.54;46
2025-02-11 06:59:45;13.70096588;-89.20122528;1;71;4.05;429;19.94;88.57;37
2025-02-11 06:59:55;13.70094681;-89.20130157;2;65;4.05;511;20.0;87.99;78
2025-02-11 07:00:05;13.70101833;-89.20135498;1;65;4.08;400;19.99;87.36;24
2025-02-11 07:00:15;13.70104027;-89.20141602;1;72;4.08;402;19.97;87.29;25
2025-02-11 07:00:26;13.70107555;-89.20155334;1;71;4.08;400;19.99;86.89;21
2025-02-11 07:00:36;13.70105171;-89.20166016;1;70;4.1;400;19.86;86.91;6
2025-02-11 07:00:46;13.70104504;-89.20178223;1;70;4.09;400;19.82;87.05;14
2025-02-11 07:00:56;13.7010622;-89.20188141;1;70;4.08;403;19.74;87.62;25
2025-02-11 07:01:06;13.70108414;-89.20201111;2;70;4.05;528;19.75;90.89;88
2025-02-11 07:01:16;13.7011013;-89.20211792;2;66;4.1;562;19.77;88.49;108
2025-02-11 07:01:27;13.70111084;-89.20220947;2;72;4.04;493;19.78;88.23;68
2025-02-11 07:01:37;13.70109367;-89.2022934;1;81;4.09;444;19.82;87.93;44
2025-02-11 07:01:47;13.70107079;-89.20236969;1;65;4.07;465;19.82;91.09;54
2025-02-11 07:02:00;13.70108986;-89.20239258;1;77;4.08;450;19.78;89.76;47
2025-02-11 07:02:08;13.70109367;-89.20243073;1;74;4.04;432;19.71;89.07;38
2025-02-11 07:02:18;13.70114136;-89.20253754;1;71;4.07;465;19.64;88.97;54
2025-02-11 07:02:29;13.70111179;-89.20262146;1;68;4.09;400;19.52;88.82;21
2025-02-11 07:03:52;13.70128155;-89.20352173;2;78;4.05;532;19.27;91.94;90
2025-02-11 07:04:03;13.70128059;-89.20359039;2;82;4.09;495;19.3;90.45;69
