Timestamp;Lat;Lon;AQI;dB;battery;eCO2;TEMP;HUMI;TVOC
2025-02-15 06:58:47;13.70002747;-89.20049286;1;62;4.31;407;19.53;100.0;27
2025-02-15 06:58:58;13.6999836;-89.20049286;1;68;4.39;414;19.67;100.0;30
2025-02-15 06:59:08;13.69996929;-89.20050049;1;61;4.32;401;19.78;100.0;24
2025-02-15 06:59:18;13.70004272;-89.20046234;1;66;4.36;410;19.81;100.0;28
2025-02-15 06:59:28;13.70007038;-89.2004776;1;62;4.33;450;19.83;100.0;47
2025-02-15 06:59:38;13.70015335;-89.20044708;2;59;4.31;502;19.83;100.0;73
2025-02-15 06:59:49;13.7002182;-89.20043945;1;62;4.3;405;19.45;100.0;26
2025-02-15 06:59:59;13.70025253;-89.20043182;1;66;4.3;400;19.53;100.0;21
2025-02-15 07:00:09;13.70015144;-89.20043945;1;63;4.33;405;19.5;100.0;26
2025-02-15 07:00:37;13.7005043;-89.20043945;1;63;4.34;405;19.83;100.0;26
2025-02-15 07:00:48;13.70061111;-89.20025635;1;65;4.36;412;19.98;100.0;29
2025-02-15 07:00:58;13.70062733;-89.20011139;1;64;4.36;419;20.11;100.0;32
2025-02-15 07:01:08;13.70060158;-89.20020294;1;65;4.35;430;20.25;100.0;37
2025-02-15 07:01:18;13.70054722;-89.20044708;1;67;4.36;434;20.37;100.0;39
2025-02-15 07:01:28;13.70052147;-89.20031738;2;69;4.38;487;20.51;100.0;65
2025-02-15 07:04:41;13.70065975;-89.20058441;1;63;4.3;416;22.11;91.72;31
2025-02-15 07:04:51;13.70069504;-89.20058441;1;65;4.38;412;22.05;91.56;29
2025-02-15 07:05:01;13.70075417;-89.20056152;1;69;4.32;400;21.78;89.97;17
2025-02-15 07:05:12;13.70080185;-89.2006073;1;75;4.35;400;21.64;91.26;18
2025-02-15 07:05:22;13.70077515;-89.20070648;1;82;4.39;404;21.65;93.46;26
2025-02-15 07:05:32;13.70095444;-89.20069122;2;71;4.37;569;21.7;95.18;112
2025-02-15 07:05:42;13.70098782;-89.20075226;1;74;4.32;466;21.61;93.19;55
2025-02-15 07:05:53;13.70098686;-89.20082092;2;68;4.37;578;21.69;93.34;117
2025-02-15 07:06:04;13.70097733;-89.20089722;2;71;4.27;609;21.74;94.77;138
2025-02-15 07:06:14;13.70091915;-89.20097351;2;72;4.27;550;21.77;91.54;101
2025-02-15 07:06:24;13.70095921;-89.20107269;1;71;4.35;483;21.59;90.67;63
2025-02-15 07:06:33;13.70097256;-89.20124054;3;67;4.31;798;21.52;93.38;295
2025-02-15 07:06:47;13.7009449;-89.20131683;2;62;4.34;680;21.47;93.4;189
2025-02-15 07:06:54;13.70094585;-89.20140839;2;68;4.32;491;21.36;93.42;67
2025-02-15 07:07:04;13.70101738;-89.20158386;1;64;4.31;418;21.3;93.0;32
2025-02-15 07:07:14;13.70103836;-89.20167542;1;65;4.35;400;21.14;92.91;24
2025-02-15 07:07:24;13.70104599;-89.20179749;1;66;4.26;411;21.16;93.26;29
2025-02-15 07:07:34;13.70103741;-89.20189667;1;66;4.32;429;21.11;93.01;37
2025-02-15 07:07:45;13.70107079;-89.20200348;3;70;4.33;845;21.09;93.06;433
2025-02-15 07:07:55;13.70110798;-89.20213318;2;69;4.36;506;20.94;93.81;75
2025-02-15 07:08:05;13.70110321;-89.20230103;1;71;4.33;400;20.83;94.38;22
2025-02-15 07:08:15;13.70108604;-89.20237732;1;69;4.33;400;20.72;95.41;21
2025-02-15 07:08:26;13.70110035;-89.20249176;1;65;4.34;400;20.63;95.36;14
2025-02-15 07:08:36;13.70112133;-89.20261383;1;60;4.33;400;20.57;95.96;18
2025-02-15 07:08:46;13.70112991;-89.20272064;1;62;4.33;400;20.54;96.96;21
2025-02-15 07:08:56;13.70113087;-89.20285797;1;58;4.27;431;20.51;97.8;38
2025-02-15 07:09:06;13.7011776;-89.20296478;1;66;4.31;408;20.48;96.79;27
2025-02-15 07:09:17;13.70120716;-89.20310211;1;79;4.32;412;20.48;96.61;29
2025-02-15 07:09:27;13.70123291;-89.20320892;2;49;4.27;502;20.44;97.49;73
2025-02-15 07:09:37;13.7012949;-89.20328522;1;72;4.31;471;20.47;98.01;57
2025-02-15 07:09:47;13.7012949;-89.20341492;1;73;4.36;484;20.46;100.0;64
2025-02-15 07:09:57;13.70128632;-89.2035141;1;71;4.29;483;20.44;99.18;63
2025-02-15 07:10:08;13.70131397;-89.20365906;1;80;4.31;463;20.48;100.0;53
2025-02-15 07:10:18;13.70125961;-89.20372772;1;84;4.36;481;20.44;98.93;62
2025-02-15 07:10:28;13.70131397;-89.2038269;1;68;4.35;439;20.5;98.17;41
2025-02-15 07:10:38;13.70131016;-89.20398712;2;72;4.34;516;20.5;99.21;81
2025-02-15 07:10:49;13.70129013;-89.20409393;2;73;4.28;575;20.55;97.61;115
