Timestamp;Lat;Lon;AQI;dB;battery;eCO2;TEMP;HUMI;TVOC
2025-02-14 07:39:40;13.69979286;-89.20036316;1;63;3.98;400;22.7;96.29;16
2025-02-14 07:39:50;13.69977665;-89.20038605;1;61;4.01;414;22.7;97.42;30
2025-02-14 07:40:00;13.69983482;-89.20040894;1;64;3.98;400;22.74;97.92;22
2025-02-14 07:40:10;13.69985485;-89.20048523;1;70;4.01;400;22.33;97.13;23
2025-02-14 07:40:20;13.69984722;-89.20054626;1;68;4.01;400;22.09;98.59;20
2025-02-14 07:40:31;13.69993305;-89.20059204;1;69;3.97;400;22.19;100.0;21
2025-02-14 07:40:41;13.69991302;-89.20053864;1;72;4.01;403;22.26;98.76;25
2025-02-14 07:40:51;13.69995117;-89.20050049;1;72;4.02;412;22.22;98.22;29
2025-02-14 07:41:01;13.7000227;-89.20046234;2;78;4.01;639;22.3;99.86;159
2025-02-14 07:41:11;13.7000246;-89.20039368;2;69;4.01;666;22.31;99.67;179
2025-02-14 07:41:22;13.70000935;-89.20030212;3;71;4.01;779;22.33;100.0;276
2025-02-14 07:41:32;13.69997883;-89.20017242;2;80;3.98;692;22.32;99.32;199
2025-02-14 07:41:42;13.70003223;-89.20009613;2;68;4.01;670;22.35;98.31;182
2025-02-14 07:41:52;13.70015144;-89.20007324;2;74;4.01;644;22.29;99.58;163
2025-02-14 07:42:03;13.70026302;-89.20001984;2;76;4.0;669;22.18;98.91;181
2025-02-14 07:42:13;13.70032978;-89.2000351;3;65;3.99;776;21.76;100.0;272
2025-02-14 07:42:23;13.70049191;-89.20001221;2;70;4.01;629;21.56;100.0;152
2025-02-14 07:42:33;13.70059299;-89.20001221;2;69;3.97;631;21.51;100.0;153
2025-02-14 07:42:44;13.70067978;-89.19992065;2;75;4.01;525;21.44;100.0;86
2025-02-14 07:42:54;13.70077896;-89.19989014;2;81;3.98;509;21.54;100.0;77
2025-02-14 07:43:04;13.70085812;-89.19996643;2;68;3.66;596;21.63;100.0;129
2025-02-14 07:43:15;13.7009182;-89.20012665;2;68;3.98;545;21.74;100.0;98
2025-02-14 07:43:24;13.70095921;-89.20020294;2;66;3.98;565;21.83;100.0;109
2025-02-14 07:43:40;13.70090675;-89.20027924;2;73;4.0;638;21.89;100.0;158
2025-02-14 07:43:45;13.70094109;-89.20039368;3;75;3.96;775;21.96;100.0;272
2025-02-14 07:44:39;13.7010107;-89.20097351;1;68;4.0;415;22.07;98.69;30
2025-02-14 07:44:49;13.70098782;-89.20107269;1;69;4.0;432;22.08;99.24;38
2025-02-14 07:44:59;13.70094109;-89.20110321;2;70;4.0;580;21.85;99.33;119
2025-02-14 07:45:10;13.70097256;-89.20118713;1;67;4.0;411;21.82;100.0;28
2025-02-14 07:45:20;13.70098686;-89.20130157;1;77;4.0;441;21.84;100.0;42
2025-02-14 07:45:30;13.70102119;-89.20143127;1;75;4.0;400;21.89;100.0;21
2025-02-14 07:45:40;13.70102787;-89.20150757;1;73;3.99;435;21.96;100.0;40
2025-02-14 07:45:50;13.70103455;-89.20158386;2;84;4.0;583;21.98;100.0;121
2025-02-14 07:46:01;13.70104313;-89.20173645;2;68;3.99;693;22.01;100.0;200
2025-02-14 07:46:11;13.70104694;-89.20184326;2;64;4.0;617;22.08;99.8;143
2025-02-14 07:46:21;13.7010498;-89.20197296;2;67;4.0;542;22.15;100.0;96
2025-02-14 07:46:31;13.70105743;-89.20209503;2;69;3.96;504;22.16;100.0;74
2025-02-14 07:46:41;13.70108414;-89.20219421;2;69;4.0;499;22.18;100.0;71
2025-02-14 07:46:52;13.70110512;-89.20230103;1;69;3.98;455;22.22;98.66;49
2025-02-14 07:47:02;13.70111179;-89.20238495;1;67;3.99;483;22.27;98.78;63
2025-02-14 07:47:12;13.70110607;-89.20239258;1;72;4.0;459;22.32;100.0;51
2025-02-14 07:47:22;13.70110321;-89.2024231;2;66;3.99;507;22.35;100.0;76
2025-02-14 07:47:32;13.70112324;-89.20252991;2;71;3.99;680;22.38;99.8;189
2025-02-14 07:47:43;13.70113754;-89.20264435;2;68;3.99;513;22.16;98.62;79
2025-02-14 07:47:53;13.70114231;-89.20274353;2;74;4.01;490;22.16;99.81;67
