Timestamp;Lat;Lon;AQI;dB;battery;eCO2;TEMP;HUMI;TVOC
2025-02-13 08:04:14;13.70003796;-89.20006561;1;72;4.15;415;21.67;100.0;30
2025-02-13 08:04:24;13.70004082;-89.20006561;1;76;4.19;437;21.85;100.0;41
2025-02-13 08:04:35;13.70004845;-89.20005798;2;68;4.19;491;22.02;99.06;67
2025-02-13 08:04:45;13.70004654;-89.20006561;1;67;4.19;400;22.08;95.79;24
2025-02-13 08:04:55;13.70013237;-89.20006561;1;72;4.19;400;22.13;93.49;17
2025-02-13 08:05:05;13.70020771;-89.20005035;1;66;4.19;406;21.87;94.63;27
2025-02-13 08:05:15;13.70036602;-89.20007324;1;74;4.2;419;21.74;94.51;32
2025-02-13 08:05:26;13.70051575;-89.20000458;1;68;4.19;412;21.86;94.71;29
2025-02-13 08:05:36;13.70063591;-89.19995117;2;67;4.19;568;21.86;93.12;111
2025-02-13 08:05:46;13.70077419;-89.19989014;2;75;4.19;611;21.72;96.35;139
2025-02-13 08:05:56;13.7008667;-89.19996643;2;94;4.19;595;21.94;96.0;129
2025-02-13 08:08:31;13.70091629;-89.20027161;3;79;4.19;809;22.16;93.06;322
2025-02-13 08:08:31;13.70089436;-89.20042419;4;76;4.19;962;22.17;92.83;843
2025-02-13 08:08:31;13.70089722;-89.20055389;3;78;4.18;909;22.29;91.9;646
2025-02-13 08:08:31;13.70093536;-89.20069122;2;81;4.19;717;22.25;91.28;219
2025-02-13 08:08:38;13.70106602;-89.20198059;1;72;4.14;483;22.65;90.33;63
2025-02-13 08:08:48;13.70108891;-89.20209503;1;76;4.18;423;22.62;89.66;34
2025-02-13 08:08:58;13.70111942;-89.20223236;2;71;4.15;547;22.64;89.51;99
2025-02-13 08:09:08;13.70112419;-89.2023468;3;70;4.19;807;22.63;88.88;316
2025-02-13 08:09:19;13.70111179;-89.2024765;3;62;4.18;768;22.62;89.12;265
2025-02-13 08:09:29;13.70111561;-89.20269012;2;69;4.19;520;22.49;90.02;83
2025-02-13 08:09:39;13.70113468;-89.20282745;1;64;4.19;452;22.41;89.26;48
2025-02-13 08:09:49;13.70115852;-89.20296478;1;71;4.19;400;22.35;89.17;10
2025-02-13 08:09:59;13.70119476;-89.20305634;1;66;4.14;412;22.19;90.59;29
2025-02-13 08:10:10;13.7012043;-89.20327759;1;74;4.19;410;21.82;93.43;28
2025-02-13 08:10:20;13.70129013;-89.20336151;1;76;4.19;456;21.81;94.15;49
2025-02-13 08:10:30;13.70122147;-89.20353699;2;74;4.14;537;21.84;93.23;93
2025-02-13 08:10:40;13.7012434;-89.2036972;2;81;4.19;509;21.79;93.88;77
2025-02-13 08:10:51;13.70128536;-89.20380402;1;83;4.19;437;21.64;94.03;41
2025-02-13 08:11:03;13.70129013;-89.20393372;1;78;4.18;416;21.62;94.61;31
2025-02-13 08:11:11;13.70127869;-89.20410156;1;77;4.19;414;21.59;95.12;30
2025-02-13 08:11:21;13.70136738;-89.20418549;1;79;4.18;448;21.58;95.5;46
2025-02-13 08:11:31;13.70139217;-89.20432281;2;81;4.15;582;21.63;95.35;120
2025-02-13 08:11:43;13.70141125;-89.20445251;2;77;4.19;541;21.66;97.17;95
2025-02-13 08:11:52;13.70137024;-89.20462799;2;80;4.19;527;21.65;95.83;87
2025-02-13 08:12:48;13.70113945;-89.20472717;2;74;4.15;603;21.55;94.95;134
2025-02-13 08:12:56;13.70057678;-89.20478058;3;81;4.12;777;21.86;96.14;274
2025-02-13 08:13:06;13.7004261;-89.20478821;2;88;4.19;716;21.99;94.49;219
2025-02-13 08:13:16;13.70030499;-89.20475769;2;81;4.11;582;22.07;93.46;120
2025-02-13 08:13:26;13.70021534;-89.20480347;3;79;4.14;841;22.14;94.27;421
2025-02-13 08:13:37;13.70010662;-89.20479584;2;74;4.18;688;22.19;94.0;196
2025-02-13 08:13:47;13.70001507;-89.20480347;2;72;4.16;629;22.12;94.05;152
2025-02-13 08:13:58;13.69988918;-89.20480347;2;77;4.19;686;22.04;93.39;194
2025-02-13 08:14:07;13.69976425;-89.20482635;2;75;4.18;672;22.02;92.85;183
2025-02-13 08:14:17;13.69963932;-89.20481873;2;83;4.13;584;21.99;93.38;121
2025-02-13 08:14:28;13.6995697;-89.20464325;4;87;4.18;922;22.21;93.17;692
2025-02-13 08:14:38;13.69953632;-89.20446777;3;76;4.18;767;22.03;92.74;264
2025-02-13 08:14:48;13.69954491;-89.20438385;3;86;4.16;764;22.09;91.87;262
2025-02-13 08:14:59;13.6995554;-89.20423889;3;71;4.18;763;22.19;92.5;260
2025-02-13 08:15:09;13.6995554;-89.20417023;2;85;4.18;522;22.26;92.18;84
2025-02-13 08:15:19;13.69950867;-89.20405579;2;75;4.19;509;22.4;91.74;77
2025-02-13 08:15:29;13.69947529;-89.20388031;2;80;4.18;583;22.08;90.87;121
2025-02-13 08:15:40;13.69939899;-89.2036438;1;71;4.19;458;22.08;92.25;51
2025-02-13 08:15:49;13.69936085;-89.20352936;1;69;4.17;424;22.27;91.92;35
