Timestamp;Lat;Lon;AQI;dB;battery;eCO2;TEMP;HUMI;TVOC
2025-02-12 07:29:07;13.70068645;-89.19952393;1;58;3.84;406;22.66;92.67;26
2025-02-12 07:29:16;13.70070267;-89.19960022;1;62;3.86;400;22.86;91.51;21
2025-02-12 07:29:36;13.70070362;-89.19961548;1;65;3.84;415;23.09;88.71;30
2025-02-12 07:29:36;13.70068741;-89.19966125;1;75;3.86;419;23.29;87.88;32
2025-02-12 07:29:47;13.70066357;-89.19985962;1;66;3.87;410;23.45;85.96;28
2025-02-12 07:29:57;13.70066357;-89.19986725;1;60;3.87;406;23.62;84.12;26
2025-02-12 07:30:09;13.70065594;-89.19992828;1;62;3.87;413;23.76;81.81;29
2025-02-12 07:30:19;13.70063877;-89.20006561;1;60;3.85;406;23.87;80.32;26
2025-02-12 07:30:28;13.70056152;-89.20012665;1;59;3.81;411;23.98;80.61;28
2025-02-12 07:30:40;13.70049191;-89.20014191;1;66;3.87;411;24.02;80.86;28
2025-02-12 07:30:54;13.7003746;-89.20011139;1;63;3.82;408;24.01;77.71;27
2025-02-12 07:31:04;13.70026398;-89.20001984;1;63;3.86;400;23.85;77.37;23
2025-02-12 07:31:15;13.70014286;-89.20009613;1;75;3.85;460;23.76;77.78;51
2025-02-12 07:31:25;13.69999313;-89.20027924;2;74;3.86;522;23.75;78.45;84
2025-02-12 07:31:35;13.69989681;-89.20026398;2;68;3.86;688;23.65;78.19;196
2025-02-12 07:31:45;13.69994164;-89.20010376;2;70;3.86;501;23.56;78.26;73
2025-02-12 07:31:55;13.69996834;-89.20002747;1;78;3.86;430;23.52;79.14;37
2025-02-12 07:32:06;13.70015717;-89.19989014;2;77;3.86;509;23.52;80.68;77
2025-02-12 07:32:16;13.70028114;-89.20000458;2;63;3.85;497;23.47;79.84;71
2025-02-12 07:32:26;13.7003746;-89.19991302;1;69;3.86;483;23.53;80.05;63
2025-02-12 07:32:36;13.70053005;-89.19994354;1;75;3.86;417;23.5;79.19;31
2025-02-12 07:32:47;13.70065022;-89.19992065;1;70;3.83;400;23.49;78.89;23
2025-02-12 07:32:58;13.70077801;-89.19992065;1;74;3.86;461;23.48;78.7;52
2025-02-12 07:33:07;13.70084763;-89.19999695;2;68;3.85;715;23.45;78.78;218
2025-02-12 07:33:17;13.70091629;-89.20008087;2;72;3.86;596;23.29;78.96;129
2025-02-12 07:33:27;13.70094204;-89.20019531;2;71;3.85;529;23.2;79.33;88
2025-02-12 07:33:37;13.70095634;-89.20028687;2;82;3.86;493;23.1;80.01;68
2025-02-12 07:33:49;13.7010231;-89.20040894;1;76;3.87;459;22.96;80.62;51
2025-02-12 07:33:58;13.70099545;-89.20053101;1;76;3.85;432;22.88;80.92;38
2025-02-12 07:34:09;13.70103168;-89.20064545;1;84;3.86;403;22.81;82.48;25
2025-02-12 07:34:48;13.70100403;-89.20078278;1;76;3.92;400;22.78;83.97;23
2025-02-12 07:34:49;13.70102692;-89.20082855;1;70;3.81;402;22.67;82.51;25
2025-02-12 07:34:49;13.70101357;-89.20116425;2;72;3.85;507;22.61;82.13;76
2025-02-12 07:34:49;13.7010231;-89.20135498;1;70;3.81;448;22.52;82.25;46
2025-02-12 07:34:59;13.70103455;-89.20131683;1;69;3.86;400;22.32;83.18;7
2025-02-12 07:35:16;13.7010603;-89.20154572;1;78;3.81;400;22.2;83.61;5
2025-02-12 07:35:26;13.70105076;-89.20170593;1;77;3.86;479;22.23;87.72;61
2025-02-12 07:35:36;13.70103836;-89.20178223;1;75;3.81;409;22.26;87.38;28
2025-02-12 07:35:46;13.70106792;-89.20184326;1;64;3.85;400;22.25;87.14;15
2025-02-12 07:35:57;13.70111656;-89.20197296;2;66;3.85;517;22.16;89.05;81
2025-02-12 07:36:07;13.70113659;-89.20220947;1;70;3.84;423;22.07;86.98;34
2025-02-12 07:36:17;13.70110798;-89.20222473;1;66;3.85;444;22.1;88.2;44
2025-02-12 07:36:27;13.70111179;-89.20243835;1;69;3.84;470;22.01;88.1;57
2025-02-12 07:36:37;13.70109844;-89.20261383;1;62;3.85;471;22.1;87.4;57
2025-02-12 07:36:48;13.70115471;-89.20276642;1;63;3.86;450;22.15;88.18;47
2025-02-12 07:36:58;13.7011652;-89.20288849;1;73;3.85;453;22.22;87.9;48
2025-02-12 07:37:08;13.70120525;-89.2029953;2;80;3.84;524;22.29;87.63;85
2025-02-12 07:37:18;13.70116997;-89.20315552;2;69;3.85;486;22.35;88.31;65
2025-02-12 07:37:29;13.70121098;-89.20330048;1;72;3.85;457;22.36;89.24;50
2025-02-12 07:37:39;13.70121002;-89.20339966;1;86;3.8;471;22.39;84.91;57
2025-02-12 07:37:49;13.70124817;-89.20340729;1;78;3.84;464;22.38;84.33;54
2025-02-12 07:37:59;13.7013092;-89.2035141;2;82;3.85;511;22.44;87.28;78
2025-02-12 07:38:09;13.70128155;-89.20365906;3;76;3.85;741;22.47;86.79;240
2025-02-12 07:38:19;13.70127201;-89.20388031;2;75;3.85;583;22.45;85.62;121
2025-02-12 07:38:30;13.70129585;-89.20401001;1;79;3.84;475;22.47;85.25;59
2025-02-12 07:38:40;13.70131111;-89.2041626;2;81;3.91;533;22.48;85.76;90
2025-02-12 07:38:51;13.701334;-89.20428467;1;86;3.84;483;22.47;84.36;63
2025-02-12 07:39:02;13.70137596;-89.20437622;1;92;3.84;484;22.49;83.59;64
2025-02-12 07:39:11;13.70135021;-89.20451355;2;89;3.91;523;22.43;84.85;84
2025-02-12 07:39:21;13.70133877;-89.20467377;1;85;3.83;453;22.29;85.44;48
2025-02-12 07:39:53;13.70135307;-89.20472717;2;81;3.81;613;22.32;85.66;140
2025-02-12 07:39:54;13.70130539;-89.20475769;2;77;3.84;679;22.28;85.41;189
2025-02-12 07:39:54;13.70121765;-89.20476532;2;77;3.84;606;22.27;85.05;136
2025-02-12 11:21:16;13.69938755;-89.20574951;1;76;4.26;400;26.13;52.92;13
2025-02-12 11:21:31;13.6993866;-89.20575714;1;79;4.25;400;26.25;52.26;18
2025-02-12 11:21:35;13.6993866;-89.20575714;1;77;4.26;422;26.29;51.86;34
2025-02-12 11:21:44;13.69937229;-89.2057724;1;78;4.29;404;26.33;51.85;26
2025-02-12 11:21:54;13.69934559;-89.20582581;1;81;4.27;400;26.48;51.75;19
2025-02-12 11:22:04;13.69934368;-89.20582581;1;74;4.24;400;26.6;51.59;22
2025-02-12 11:22:20;13.69934464;-89.20582581;1;82;4.24;404;26.74;52.05;26
2025-02-12 11:22:25;13.69936466;-89.20581818;1;79;4.31;404;26.78;52.85;25
2025-02-12 11:22:35;13.69937801;-89.20578766;1;80;4.32;400;26.87;53.06;19
2025-02-12 11:22:45;13.6993742;-89.2057724;1;80;4.25;408;27.03;52.66;27
2025-02-12 11:22:55;13.69937325;-89.20578003;1;78;4.31;423;26.99;51.63;34
2025-02-12 11:23:06;13.69937801;-89.2057724;1;81;4.26;412;26.94;51.35;29
2025-02-12 11:23:16;13.69943047;-89.20578003;2;78;4.27;529;26.92;51.67;88
2025-02-12 11:23:27;13.69950104;-89.20576477;2;79;4.29;545;27.05;51.95;97
2025-02-12 11:23:37;13.69951439;-89.20568848;1;78;4.27;440;27.17;51.48;42
2025-02-12 11:23:47;13.69950962;-89.20559692;1;83;4.33;465;27.4;51.1;54
2025-02-12 11:23:57;13.69949245;-89.20552063;2;80;4.26;499;27.6;50.38;71
2025-02-12 11:24:07;13.69951534;-89.20544434;1;81;4.24;448;27.74;49.63;45
2025-02-12 11:24:17;13.69950199;-89.20540619;1;85;4.28;415;27.67;49.1;31
